,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,sentiment_score,sentiment_boolean,summary,sentiment_new
202,455,455,455,2024-04-08 17:15:39+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/yield-yak-ltipp-application-draft/21912

## Council -  3/3 Yes Votes

### Feedback

*Wintermute Feedback)*
Yield Yak’s application scored well across a lot of criteria. They had clear milestones, KPIs, goals, and objectives, and based their ARB distribution according to key milestones which is great. Their incentive mechanism is very basic and more could of been done there to incentivise stickiness. Their project is very composable and they have decent integrations thus far.
They sufficiently justified their requested grant size, however, we would’ve like to see more thought behind trying to migrate their Avalanche users to Arbitrum by using ARB incentives. Lastly, we are slightly concerned about product demand on Arbitrum given their age.
Nonetheless, this was a solid application and we will be supporting it.

*GFX Feedback)*
While we feel the request is relatively high vs the Arbitrum traction to date, the persistent presence on Avalanche does suggest the team can maintain much of the TVL and activity if they can get some momentum. We also appreciate that the request is scaled to a targeted, capped incentive and represents a maximum spend. We recommend this grant be approved.

*Karel Feedback)*
Vote FOR Yield Yak's proposal.

Strong, comprehensive proposal across major criteria (milestones, KPIs, etc.) with solid metrics driven largely by Avalanche (Arbitrum metrics are meh). Requested grant size is higher than ideal but sufficiently rationalized by the team in light of potential opportunity to migrate Avalanche users to Arbitrum and would have liked to see a more fulsome strategy drawn out to bring users over to Arbitrum as part of the incentivization strategy.",bearish,1.5694,2024-04-08 17:15:39+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9540699124336244,True," The text summarizes the feedback on Yield Yak's application for a grant from the Arbitrum council. The application was generally well-received, with clear milestones, KPIs, and objectives. However, the council suggested that more thought could be given to incentivizing the migration of Yield Yak's Avalanche users to Arbitrum. Some concerns were expressed about product demand on Arbitrum due to its relatively young age. Despite these concerns, the application was supported by the council due to its strong proposal and potential opportunity for user migration. The grant request was considered high compared to Arbitrum's current traction, but it was appreciated that the request was scaled and represented a maximum spend. Overall, the sentiment is positive, with support for the application, but with suggestions for improvement in the incentivization strategy for migrating users from Avalanche to Arbitrum.",bearish
203,458,458,458,2024-04-08 22:05:53+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/perpie-ltipp-application-draft/22079

## Council - 3/3 Yes Votes

### Feedback

*Wintermute Feedback)*
Perpie’s application is pretty solid and ticks off a lot of criteria. The main areas they lost points in are the grant request size in conjunction with the product’s usage and age.

Their distribution strategy seems fine although there may be potential for users to abuse self-referral rebates. Nonetheless, the distribution strategy is heavily focused on the end user and promoting trading activity on Arbitrum which is great.

While we don’t think the grant size is justified, we plan to support Perpie as the Telegram bot industry has seen high demand. Thus, we think it’s reasonable for delegates to decide the outcome.

*Karel Feedback)*
""Vote FOR Perpie's proposal.

Good proposal that scored well across rubric. Supportive as given nature of the product (Telegram bot), composability, and usage in line with GMX STIP campaign. Keen to see other aspects of roadmap implemented. Over to the DAO.""		

*404 Feedback)*
Overall, Perpie’s application was decent and they addressed all the necessary components. They have had strong usage during other incentive programs, retention is a bit of a concern though. While the grant ask is a little high we support Perpie as demand for the TG bot industry is evident and is something Arbitrum DAO should support for LTIPP",bearish,1.5694,2024-04-08 22:05:53+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9439511895179749,True," The text provides feedback on the application of Perpie for a grant in the Arbitrum ecosystem. Wintermute and 404 have voted 'Yes' for the proposal, citing that while the grant request size could be reduced, the product (a Telegram bot) has high demand and strong usage. Karel supports the proposal due to its alignment with the GMX STIP campaign, composability, and potential roadmap implementation. Overall, the feedback suggests a positive sentiment towards Perpie's application.",bearish
205,461,461,461,2024-04-25 16:48:00+00:00,arbitrum,"Following the initial feedback of LTIPP Council, Tradao would like to re-submit its LTIPP application.

The full proposal can be found here:

[https://forum.arbitrum.foundation/t/tradao-ltipp-application-final/21884](https://forum.arbitrum.foundation/t/tradao-ltipp-application-final/21884)

## Request: 100,000 $ARB (Reduced from 190,000 $ARB)

### Feedback Summary:

The council feedback could be summarized as:

1. Wintermute: Criticized the large grant request, unverifiable metrics, and lack of anti-sybil measures

2. GMX: Lack of product-market fit and transaction numbers. Found the grant request to be inefficient and the incentive strategies unproven.

3. GFX: Highlighted concerns about the large grant size and the challenge in verifying Tradao's metrics. Recommended revising the application with enhanced sybil protection measures and to consider feedback from multiple reviewers for a future submission.

### Key Metric Update

As Tradao's permissionless copy trading function launched in early March before the LTIPP application program deadline, the metric of copy trading cannot fully reflect our product-market fit. Here is some update about our metric.

Previous

* Trading volume: 27,920,792
* Traded: 828
* Address: 66

New

* Trading volume: 70,540,917(Copy Trading) + 11,053,160(Direct Referral)
* Traded: 2,576
* Address: 153

Source:

1. https://dune.com/patrick_tradao/tradao-dashboard
2. https://www.gmxreferrals.com/arbitrum (Search Code: Tradaox)

### Key Adjustment

In response to feedback from the Council and recent dencun upgrade, we propose resubmitting the application with a reduced grant amount by removing the rebates of GMX's excution fee, eliminating trading competition and wallet generation incentive.

Setting the new grant request at 100K ARB, we will implement the following incentive scheme:

* Increase the total transacted volume via Tradao
  * Currently at $1.63M daily volume
  * Targeting ~$3M daily volume
* Incentivize fee rebate → less cost to trade → more trades → more volume and likely users
* As Tradao is totally free to every user, we don’t charge any cost from users. This means all the costs are the gas fee and the fee charged by GMX. We will rebate 80% of open fees back to users. To achieve this, at a target of $3M daily volume and 100 daily transactions, across 12 weeks, it would require:
  * USD equivalent = ($3M * 0.06% * 80%) * 365 * 12/52 = $121.29K
  * ARB amount = $121.29K / $1.2 = 100K ARB at $1.2

## Expected milestones

Initial unlock 33% of ARB

Milestone 1: 84m Trading Volume (66% of ARB unlocked & 33% of ARB distributed)

Milestone 2: 168m Trading Volume (100% of ARB unlocked & 66% of ARB Distributed)

Milestone 3: 252m Trading Volume (100% of ARB unlocked & 100% of ARB Distributed)

The Tradao team agrees to return to the Arbitrum DAO any unused ARB funds once the 12-week LTIPP program is concluded.",bearish,1.0898,2024-04-25 16:48:00+00:00,1.0044,1.0044,2024-04-27 00:00:00+00:00,7.83630023857589,1.0953,0.005046797577537,0.9132975935935974,True," The text indicates that Tradao, in response to feedback from the LTIPP Council regarding a large grant request and concerns about product-market fit, unverifiable metrics, and lack of anti-sybil measures, has decided to resubmit its application with a reduced grant amount. They propose to implement an incentive scheme to increase trading volume via Tradao and rebate 80% of open fees back to users. The team also provides updated metrics and sets expected milestones for the use of the granted funds. Overall, the sentiment appears to be one of determination and adaptability as Tradao addresses the council's feedback and seeks continued support for their project.",bearish
206,462,462,462,2024-04-08 17:52:48+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/dappos-ltipp-application-draft/21840

## Council -  3/3 Yes Votes

### Feedback

*404 DAO Feedback*
dappOS presented a concise application, but they scored decently across most sections in the rubric. Their product has also seen past success with incentives through GMX’s grant program. While their milestone section and KPIs could’ve been more detailed, we feel that their distribution mechanism and the novelty of their product are strong enough reasons to support this application.

*Wintermute Feedback*
dappOS’s application was good and scored well across various criteria. They seem to have a pretty large user base (hard to verify such data) that is active across multiple chains and protocols, therefore, acting as a nice funnel to the Arbitrum ecosystem.
Their goals, KPIs, and milestones are all clear in their purpose and their justification of grant size is sufficient and reasonable given their goals and level of activity.
Our main concerns are that they are already receiving funding from STIP via GMX’s grant program which could be seen as double dipping and it makes it hard to fully understand how organic the current metrics are.
Furthermore, their incentive mechanism does not provide any new data and mimics what has previously been done for GMX.
Overall, despite these concerns, their ability to generate strong activity seems sufficient enough to receive their requested grant size.
We will be supporting this application.

*Karel Feedback*
Vote FOR dappOS' proposal.

Good proposal and scored moderately well on rubric. KPIs/milestones are realistic with existing figures and grant size is well justified. Lacking in data availability (or accessiblility of it) across chains (would be good to have source of truth across all chains/protocols). Would have been good to have more information on ""new campaigns on popular dApp partners"" re: stickiness.",bearish,1.5694,2024-04-08 17:52:48+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.93305641412735,True," The text provides feedback on the application of dappOS for a grant from Arbitrum's LTIPP program. The feedback is generally positive, with three council members voting yes. The application was considered concise and scored well across various criteria, demonstrating past success through GMX's grant program.

However, concerns were raised about potential double-dipping of funding and the lack of novelty in their incentive mechanism compared to previous efforts. Despite these concerns, the ability of dappOS to generate strong activity was deemed sufficient for receiving the requested grant size. The proposal was supported by all three council members.",bearish
208,464,464,464,2024-04-08 21:54:28+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/okto-ltipp-application-draft/21633

## Council -  3/3 Yes Votes

### Feedback

*404 Feedback)*
Okto brings a mobile first trading experience that we think has the opportunity to onboard new users from a large growing market - India. That have clear execution plan with decently ambitious goals of 10x volume and 5x users & TVL. Their milestones and KPIs are clear and effective - overall a solid application that justified an appropriate ask of 50k ARB. While we feel like to large of a percentage is allocated to the ARB Leaderboard Competition and it was hard to verify some of their usage data, we will be supporting this application. 

*Karel Feedback)*
""Vote FOR Okto's proposal.

Interesting proposal and mobile-first product focused on India, a prime crypto region of the world who is very mobile-friendly. As a multichain wallet, they have many chain partnerships ranging from 10 EVM chains (Polygon zkEVM), Aptos, and soon Solana and Cosmos. Initially, was a bit concerned but their Okto Futures product will be native to Arbitrum which has seen decent traction since launching. See an opportunity to drive users, volume, and TVL to Arbitrum through their product. Revised grant size is reasonable. ""		

*GMX Feedback)*
The app is currently in the beta phase but has already shown impressive numbers. Given the grant's size, it's a clear choice based on the demonstrated metrics, and their commitment to matching the grant with generated fees adds further incentive. Notably, there's currently a lack of mobile-native futures aggregators within the Arbitrum ecosystem or on any other blockchain, particularly those integrated directly with supported wallets as proposed. The benefits of funding this innovative product outweigh the grant's cost and will likely drive increased adoption of Arbitrum among mobile users. The KPIs and milestones align well with the request size, indicating a reasonable and achievable roadmap for the project. Overall, this proposal presents a compelling opportunity to support the development of a unique and much-needed tool in the ecosystem.",bearish,1.5694,2024-04-08 21:54:28+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.938868284225464,True," The text discusses the approval of an application by a council for Okto, a mobile trading platform targeting India's market. The council finds the application solid with ambitious goals and clear milestones. However, concerns were raised about the allocation of funds to the ARB Leaderboard Competition and verifying usage data. Despite these reservations, the application was supported due to its potential to drive users, volume, and TVL to Arbitrum. The feedback is generally positive, highlighting Okto's mobile-first product, multi-chain partnerships, and commitment to matching the grant with generated fees. The proposal is seen as a compelling opportunity to support the development of a unique and much-needed tool in the ecosystem.",bearish
209,465,465,465,2024-04-08 17:39:32+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/pyth-network-ltipp-application-draft/22003

## Council -  3/3 Yes Votes

### Feedback

*GFX Feedback)*
Improving oracle diversity on a chain increases the resilience of the ecosystem, not only because protocols have more choices of oracle provider, but also because protocols can use combinations of oracle providers for different risk profiles, asset types, and as failsafes in the event of a primary oracle failure. 
This grant plan’s main weakness is the large spend. The cost per additional oracle is considerably higher than other oracle provider grant applications. Pyth, however, has a demonstrated ability to gain adoption on Arbitrum, and also provide more exotic or esoteric oracle feeds by virtue of the sheer number of feeds. On balance, the benefits of having a competitive oracle ecosystem on Arbitrum and Pyth’s track record with working within the ecosystem outweighs the scoring penalties from the large size of the request.

*GMX Feedback)*
Pyth's application is undoubtedly beneficial for the ecosystem, although the grant size is considerable. While we support this application, we suggest exploring the possibility of reducing the requested amount. Having a diverse range of proven oracles within the Arbitrum ecosystem is immensely advantageous, particularly in light of numerous complaints about the high costs associated with other oracle services. Pyth boasts a proven track record and is poised to provide immediate benefits to the ecosystem upon integration. Despite the sizeable grant, the allocated ARB will be utilized for gas fee rebates, directly benefiting the ecosystem.


*404 Feedback)*
Very large grant size, but echo the sentiments of the other reviewers - Pyth has shown strong traction on Arbitrum and it is beneficial to have competing oracle ecosystems.",bearish,1.5694,2024-04-08 17:39:32+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9418251514434814,True," The text provides feedback on an application for a grant by Pyth Network for their LTIPP (Liquidity Token Incentive Program Proposal). The council voted 3/3 in favor of the proposal, despite concerns about the large grant size. Reviewers acknowledge that Pyth has demonstrated strong traction on Arbitrum and that having diverse oracle ecosystems is beneficial for the platform's resilience. They suggest exploring ways to reduce the requested amount while emphasizing the immediate benefits Pyth could bring upon integration. The allocated ARB will be used for gas fee rebates, benefiting the ecosystem. Overall, the sentiment is positive towards Pyth's application, with a focus on balancing the large grant size and the potential benefits to the Arbitrum ecosystem.",bearish
211,467,467,467,2024-04-08 17:47:49+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/compound-ltipp-application-draft/21923

## Council -  3/3 Yes Votes

### Feedback

*404 DAO Feedback*
Despite a larger ask, we are supporting this application as Compound presented a very clear execution plan along with proper milestones and KPIs. As one of the oldest DeFi projects there is extensive data on protocol usage and their previous incentivization programs have proved to be successful. Overall, we are confident that this is a good use of LTIPP funds and will likely drive additional large users and TVL to Arbitrum. 

*Wintermute Feedback*
Compound’s application was strong across most criteria. They presented a strong understanding of their overall vision, goals, and benefits that this will bring to Arbitrum. While we would’ve liked to see more assets listed before incentives start, there is already a solid amount of demand for the protocol on Arbitrum. We think Compound’s integration with CEX’s, existing Whale userbase on Mainnet, and overall TVL is an important value proposition for the Arbitrum community.

They provided sufficient justification for their request grant size (although on the larger end) and their incentive design targeted more valuable and longer-lasting users.

We will be supporting this application.

*Karel Feedback*
 	
Vote FOR Compound's proposal.

Strong proposal across different parameters with a slightly high but fair final ARB ask. Good traction on Arbitrum to-date and believe the appropriate mechanisms are in-place to attract liquidity and drive users from Ethereum L1 to Arbitrum One",bearish,1.5694,2024-04-08 17:47:49+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.905685544013977,True," The text presents feedback on Compound's application for LTIPP funds, which aims to integrate with Arbitrum. The feedback is generally positive, with three council members voting yes. Reasons include a clear execution plan, extensive data on protocol usage, successful previous incentivization programs, strong understanding of vision and benefits, and a solid amount of demand for the protocol on Arbitrum. Although the ask is larger than usual, it is considered fair due to the potential to drive additional large users and TVL (Total Value Locked) to Arbitrum.",bearish
212,468,468,468,2024-04-08 21:48:03+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/lumin-finance-ltipp-application-draft/21959

## Council -  3/3 Yes Votes

### Feedback

*404 DAO Feedback)*
A decent application that score below average due to its current usage metrics and deployment date on Arbitrum (We’ve noticed that the rubric does seem to bias a bit too heavy towards established projects, and this is in our opinion an application that reflects a good idea that scored low). Given its a peer to peer lending protocol we thought their might be some sybil concerns where individuals could just net the ARB yield, but given the over-collateralization requirements feel that this is mitigated. Otherwise, we felt this was really well presented grant request and we really liked that they divided the ARB based on milestone metrics. We will be supporting this application as fixed rates and peer to peer lending is an area Arbitrum could compete better on.

*Karel Feedback)*
""Vote FOR Lumin Finance's proposal.

Decent proposal and novel implementation (loans as NFTs to individualize loans + tradeable on the marketplace). Good execution strategy. Little product usage given date of deployment but believe it's a low risk grant that is dependent on the achievement of goals. For moving to DAO to decide. ""		

*Wintermute Feedback)*

Lumin’s application was solid despite the low overall score. They did well in calculating and justifying their grant request and provided clear objectives, KPIs, and milestones. We liked that they split their grant request into two stages, requiring their protocol to hit certain milestones before having their second tranche of ARB unlocked. Their protocol also offers some unique product offerings and is pretty composable.
However, they did score poorly due to their lack of product usage and age of deployment on Arbitrum. As a result, this pulled down the expected benefit from their requested grant size.
We think this application is worthy of progressing to a DAO vote as they have a clear vision of intended grant use with key milestones and they will only receive the full funds of the grant if they are successful in reaching their KPIs.",bearish,1.5694,2024-04-08 21:48:03+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.936837077140808,True," The text discusses feedback on an application for Lumin Finance, a peer-to-peer lending protocol deployed on Arbitrum. The majority of council members (3/3) voted yes, appreciating the well-presented grant request and unique features like loans as NFTs. However, the low overall score was due to the lack of product usage and age of deployment on Arbitrum. Despite these concerns, the application is considered worthy of progressing to a DAO vote due to its clear vision, intended grant use, and milestones. The sentiment towards the application is generally positive, with support for its potential to improve Arbitrum's competition in fixed rates and peer-to-peer lending.",bearish
214,473,473,473,2024-04-08 20:10:50+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/hop-protocol-ltipp-application-draft/21830

## Council -  3/4 Yes Votes

### Feedback

*Wintermute Feedback)*

Hop’s application was great and scored well across a range of criteria. They have an excellent reputation and strong usage statistics.
They provided clear milestones, KPIs, and goals, and provided sufficient justification for their grant size.
Our main concern is with the overall distribution mechanism and cost to the DAO. We would’ve liked to see a justification of TVL target based on user cohort trade size which would inform how much TVL is required to reduce slippage and attract larger bridging volume. Or even begin bootstrapping in-demand assets to Arbitrum.
Furthermore, we don’t think spending money on bridge rebates is the best use of DAO funds as it doesn’t actively target increasing user base and activity but mostly reduces the burden for users who were already looking to bridge.
Unfortunately, due to the reasons above we will not be supporting this application.

*GFX Feedback)*
The primary weakness of this grant plan is the sheer size. Given clear execution plan, walking through how the applicant arrived at the requested amount, and milestones, the application overcomes the penalty for the large request. We recommend approving this grant.

*GMX Feedback)*

We are generally supportive of approving Hop’s grant. Hop Protocol is a substantial player in the bridge sector and has huge potential to help Arbitrum grow generally. Bridges are also sites of high crosschain traffic, so this provides an opportunity to put Artbiutrm in front of new users. The detailed breakdown of how the grant will be utilized, including specific percentages allocated to different aspects such as liquidity mining incentives, gas fee subsidies, and bonder fee subsidies, demonstrates a clear understanding of the challenges and opportunities within the Arbitrum ecosystem. The plan to incentivize user ""stickiness"" by subsidizing onboarding fees while ensuring a stake in the network through ARB token rebates is particularly innovative and likely to achieve long-term engagement. They, are also open to match the grants funds with the HOP protocol DAO treasury funds which is a good sign. 

*404 DAO Feedback)*
Hop presented a strong application that scored well on most sections in this rubric. In addition to being a long time supporter of Arbitrum, they provided detailed justifications for their KPIs, milestones, and overall execution strategy. We appreciated the sub-focus on Arbitrum Nova within their execution strategy and believe Hop plays an important role in driving further adoption and discovery for this chain. Overall, due to the robust nature of Hop’s application, their past success and impact to driving users to transact on Arbitrum native chains we will be supporting this grant proposal.",bearish,1.5694,2024-04-08 20:10:50+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9169408679008484,True," The text summarizes a council vote on a grant application for Hop Protocol by Arbitrum's DAO (Decentralized Autonomous Organization). The application was generally well-received, with positive feedback highlighting Hop's strong reputation, clear milestones, and potential to boost Arbitrum's growth. However, concerns were raised about the overall distribution mechanism, cost to the DAO, and the use of funds for bridge rebates. Despite these reservations, some council members recommended approving the grant due to Hop Protocol's significant role in the bridge sector and innovative plans to incentivize user engagement on Arbitrum. The final vote resulted in a 3/4 approval, but with some abstentions due to the concerns mentioned above.",bearish
216,476,476,476,2024-04-08 17:38:52+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/bebop-ltipp-application-draft/21419

## Council -  3/4 Yes Votes

### Feedback

*GFX Feedback*
We thought this was a very interesting grant. It offers a fun incentive mechanism with the prize box. Unfortunately, in a (correct) attempt to mitigate sybil farming of that prize box, it would be restricted to existing accounts. That dramatically narrows the focus of the grant, since it’s no longer able to use its most interesting mechanism to acquire new users for Arbitrum, and instead must make it up with increasing the amount of activity of existing users. In the end, the score was not high enough to recommend approval, but we strongly encourage the applicant to reapply to future grants cycles, particularly if they can find a way to retain sybil resilience and also target new users.

*404 DAO Feedback*
Bebop presented a very thorough well written application. They scored well across most of the rubric; however, their milestone section could’ve been improved greatly to include trackability and focus on increasing activity. Due to the nature of the execution strategy, pairing usage incentives with increased solvers for best execution, as well as their strong justification, fair grant ask, and current traction we will be supporting application. 

*GMX Feedback*
Bebop, a DEX aggregator, has a considerable user base on various Layer 2 solutions, positioning them well to attract users from other L2 platforms to Arbitrum with the proposed incentives. Their unique incentive mechanisms, including gasless transactions and mystery box campaigns, add an unique aspect to their proposal. Moreover, Bebop offers easy integration for other projects through their APIs, enhancing composability within the ecosystem. The introduction of their aggregation system, JAM, aims to optimize trades for users, further contributing to their appeal. While the grant size is deemed somewhat high, there's confidence in Bebop's ability to deepen their presence within the Arbitrum ecosystem using the 400k incentives. Although it would have been preferable for them to demonstrate success on Arbitrum with a smaller grant initially, the overall consensus is to approve the proposal, acknowledging its potential to drive volume and engagement within the ecosystem.

*Karel Feedback*
Vote FOR BeBop's proposal.

Strong proposal that scored well across the rubric. Has demonstrated meaningful adoption across L2s with traction on Arbitrum ready to be scaled. Highly composable with other Arbitrum DeFi protocols. Meaningful target milestones/KPIs to grow volume and that are well justified relative to recent traction on Arbitrum without incentives to highlight ability to scale up from here. While not disqualifying aspects, would have liked to see the following adjusted: (i) slight reduction in grant size (300k); (ii) more detail around the Mystery Box mechanic on proposed allocation of the ARB and mechanics; and (iii) a rebalancing from the ARB Mystery Box allocation to another incentivization mechanic that can encourage new user growth (given the 1-month requirement for account age discourages new users from being able to access 70% of the incentives).",bearish,1.5694,2024-04-08 17:38:52+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.8944406509399414,True," The text presents feedback on an application for a grant by Bebop, a DEX aggregator. The majority of council members voted yes for the proposal. Feedback suggests that while the application is well-written and has demonstrated traction across L2 solutions, it could improve its milestone section to include trackability and focus on increasing activity. The unique incentive mechanisms offered by Bebop, such as gasless transactions and mystery box campaigns, are appreciated but deemed high in grant size. The council encourages the applicant to reapply for future grants cycles with adjustments to the grant size, mystery box mechanics, and a new user growth incentivization mechanism that doesn't require a 1-month account age. Overall, there is confidence in Bebop's ability to deepen their presence within the Arbitrum ecosystem using the provided incentives.",bearish
218,480,480,480,2024-04-08 17:32:39+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/aark-ltipp-application-draft/21464

## Council - 3/3 Yes Votes

### Feedback

*GFX Feedback*
This grant plan was especially strong in identifying target users that off Arbitrum, estimating a user acquisition cost via this plan, including retention in the plan, and generally having clear deliverables promised. The only weakness was the very large request size, but that was overcome in other areas of the scoring rubric. We recommend this grant me approved.

*Wintermute Feedback*
Aark’s application was very strong and scored well across most criteria. They provided a thorough understanding of their customer acquisition and object of grant use as indicated by their execution strategy. Their milestones, KPIs, and goals, were clear and concise with thorough justifications.
Their request grant size was sufficiently justified and in line with the protocol’s usage. The product itself introduces some innovation to the perp DEX sector while capturing the LRT audience. 
We will be supporting this application.

*Karel Feedback*
Vote FOR Aark's proposal!
Strong proposal and highlighted a clear plan to draw users/liquidity to Arbitrum from outside ecosystems. Has shown strong traction to-date and hope to see this pass through the DAO to execute against plan and hit the target milestones/KPIs. Grant size is on the larger end but believe worthwhile use of DAO capital.",bearish,1.5694,2024-04-08 17:32:39+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9063780903816224,True," The text presents feedback on an application for a grant, primarily positive in nature. The applicant, Aark, was praised for their clear delivery of user acquisition strategy, understanding of grant usage, and innovative product introduction within the perpetual DEX sector. Despite a larger grant size, it was considered justifiable and worthwhile. The council unanimously voted 'Yes' to approve the application.",bearish
219,481,481,481,2024-04-08 17:18:36+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/verified-usd-ltipp-application-draft/21833

## Council -  3/3 Yes Votes

### Feedback

*GMX Feedback)*
Generally supportive of Verified USD’s application. Stablecoins, while a competitive sector, are a primitive necessity for DeFi. It is one of the few sectors where you want a lot of competition because there are generally a lot of different approaches to a solution. Additionally, Verified USD wants to utilize the adoption of RWAs in their stablecoin model, which has some novelty. The team's proactive engagement with key partners such as Fiat24 and MugglePay, coupled with their track record of successful liquidity programs and ecosystem support, instills confidence in their ability to effectively utilize the grant funds to foster growth and innovation within the Arbitrum network. Additionally, their willingness to accept linear funding and the oversight of a multisig further ensures accountability and transparency throughout the grant execution process. Overall, this proposal aligns with the goals of promoting ecosystem development and advancing the utility of USDV within Arbitrum, making it a compelling candidate for approval. 

*Karel Feedback)*
Vote FOR Verified USD's proposal.

Strong proposal that scored well across rubric (execution plan, grant justification, breakdown, milestones, etc.). Interesting opportunity to drive greater USDV adoption on Arbitrum from other ecosystems. Would have liked to see more justification re: why MugglePlay / Fiat24 as strategic partners for integration over others and also to fully confirm whether rebates to MugglePay/Fiat24 are to partners or directly to end-users. Regardless, support this moving to DAO.	

*404 Feedback)*
VerifiedUSD presented a well-rounded proposal scoring well in most all categories. We support their integrations for enabling payments onchain and felt they provided solid justifications in their grant ask and planned strategy. We will be supporting this application.",bearish,1.5694,2024-04-08 17:18:36+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9303656220436096,True," The text presents generally positive feedback towards the Verified USD's application, with three council members voting yes. The proposal is considered strong, aligning with goals of promoting ecosystem development and advancing the utility of USDV within Arbitrum. Key partners like Fiat24 and MugglePay are seen as strategic for integration, although some clarity on their role is requested. The team's proactive engagement, successful liquidity programs, and accountability measures through linear funding and multisig oversight are commended. Overall, the proposal is deemed compelling and supportive of its approval.",bearish
224,486,486,486,2024-04-08 21:55:58+00:00,arbitrum,"## Link to Application
https://forum.arbitrum.foundation/t/orange-finance-ltipp-application-draft/21664

## Council -  3/3 Yes Votes

### Feedback

*Wintermute Feedback)*
Orange Finance’s application was thorough and provided solid justification for their grant size. Furthermore, they provided clear milestones, KPIs, and goals, with their milestones tied to ARB unlocks based on protocol activity.
Their protocol has seen decent adoption given their age, however, no clear signs of strong demand. Nonetheless, their product builds on top of existing DeFi protocols and provides passive yield strategies for users.
They have a good execution strategy and we like that it directly targets stickiness that will last longer than the incentive period.
We will be supporting this application.

*404 Feedback)*
Orange Finance scored well across the majority of the rubric specifically due to their novel product and alignment with Arbitrum. They present a unique product that builds atop several other protocols within the Arbitrum ecosystem and we believe their traction metrics suffers simply due to the complexity of their product. The ask is a little high for their current traction but we are encouraged by their retention strategy and believe incentives will lead to longterm synergies. Due to the strong execution strategy, composability and long-term retention presented we are supporting this application.

*Karel Feedback)*
""Vote FOR Orange FInance's proposal.

Detailed proposal and well justified grant request amount. Protocol has seen decent adoption which has since lowered since submission but incorporates an interesting points program mechanic and locking mechanism that aligns well with longer term stickiness and achievement towards milestone goals ($1M -> $2/$4M TVL). Support this going to the DAO.""",bearish,1.5694,2024-04-08 21:55:58+00:00,1.4751,1.4751,2024-04-09 00:00:00+00:00,6.00866573212691,1.47515,-0.060054798011979,0.9289661645889282,True," The text presents a positive sentiment towards Orange Finance's application. The council members find the application thorough, with solid justification for the grant size, clear milestones, KPIs, and goals. They appreciate the product's novelty, alignment with Arbitrum, and its potential to provide passive yield strategies for users. The execution strategy is praised for targeting long-term stickiness. Despite some concerns about the current traction and high ask, the council members are encouraged by Orange Finance's retention strategy and believe incentives will lead to long-term synergies. Overall, they support this application due to its strong execution strategy, composability, and long-term retention potential.",bearish
