,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,category
719,719,719,2021-05-30 02:36:39.133000+00:00,uniswap," The text discusses a proposal aimed at removing an individual named Chris Blec from the DeFi community. The author considers Blec influential due to his opinions and skepticism, but suggests that his removal would be advantageous for all members, particularly underage developers. This proposition is based on a suggestion made by Blec himself: offering him 50 million dollars. Given the Uniswap treasury's substantial funds ($4B) and Hayden Adams' expressed dislike for Blec, the author proposes using UNI tokens from the treasury to fulfill this request. A snapshot poll is available for voting on this proposal, with the deadline approaching soon.",bearish,25.716,2021-05-30 00:00:00+00:00,21.66,21.66,2021-05-30 00:00:00+00:00,-0.1577228184787681,27.19366666666667,0.0574609840825426,verySmall
729,729,729,2024-07-03 01:52:32.091000+00:00,uniswap," This text discusses various proposals made by GFX Labs regarding the Uniswap platform, including onboarding new chains (Sei, Manta), operational improvements, delegate compensation, and funding requests for DeFi Education Fund (DEF). The proposals aim to streamline new deployments, attract high-quality delegates, and provide additional funding for DEF. GFX Labs voted in favor of most proposals, except for the onboarding of Redstone due to its limited TVL and market position. The text also mentions a matching funds request from Uniswap Arbitrum's LTIPP program, with varying amounts requested and recommended by GFX Labs. Overall, the text highlights GFX Labs' involvement in decision-making for Uniswap and its related projects.",bearish,8.522,2024-07-05 00:00:00+00:00,6.763,6.763,2024-07-05 00:00:00+00:00,-0.2064069467261206,7.975333333333332,-0.0641476961589612,verySmall
731,731,731,2021-03-02 15:13:20+00:00,curve," The proposal aims to incorporate governance tokens like COMP, UNI, YFI into Curve DAO pools. The motivation is to utilize idle tokens for voting, thereby enhancing quorum and empowering Curve DAO or delegated entities. Proponents argue it allows for strategic voting in future collaborations between DAOs. Critics express concerns over increased gas fees and potential bias in voting positions contrary to liquidity providers' interests.",bearish,2.508,2021-03-02 00:00:00+00:00,1.981,1.981,2021-03-02 00:00:00+00:00,-0.210127591706539,2.291,-0.0865231259968102,verySmall
741,741,741,2022-12-15 19:30:59+00:00,optimism,"90 community members will receive voting badges in the newly announced retroPGF 2, including 10 Token House delegates. For more details, refer to the original post and Token House Badgeholder Election Information on Optimism's governance forum.",bearish,1.067,2022-12-17 00:00:00+00:00,0.896,0.896,2022-12-17 00:00:00+00:00,-0.1602624179943767,0.9863333333333334,-0.0756013745704466,verySmall
742,742,742,2024-06-06 23:31:55+00:00,apecoin," The text proposes hiring a Head of Network Development for the APE Foundation to support strategic goals, daily operations, and external affairs. This role will also coordinate community engagement and make recommendations for improvements. The position is not equivalent to a CEO or leader but a critical support function.

The hire will be funded by reducing future Special Council members' payments. The estimated annual salary is $120,000 in APE, with the possibility of exceeding this amount if deemed necessary. The APE Foundation will manage the hiring process, ensuring all legal and tax considerations are addressed.

The addition of a Head of Network Development is beneficial for the ApeCoin DAO as it will provide essential oversight, strategic facilitation, and operational management, ensuring the DAO fulfills its mission efficiently and effectively. This role is crucial for maintaining momentum, building community trust, and ensuring the long-term sustainability of the DAO. The proposal can be found at [AIP-413 link removed].",bearish,1.33,2024-06-07 00:00:00+00:00,1.1,1.1,2024-06-07 00:00:00+00:00,-0.1729323308270676,1.2153333333333334,-0.0862155388471178,verySmall
744,744,744,2021-07-18 08:24:10+00:00,pankcakeswap," Newly released cryptocurrencies are quickly listed on significant exchanges. Currently, Cake is not yet available for trading on OKEx, Bitstamp, Coinbase Pro, Gemini, Bitfinex, bitFlyer, btcturkpro, ParibuCom, HuobiGlobal, Bybit_Official, Upbitglobal, HitBTC, Bitmex, Kraken, ZBG_Exchange, bitforexcom, and LBank_Exchange.",bearish,12.93,2021-07-20 00:00:00+00:00,10.85,10.85,2021-07-20 00:00:00+00:00,-0.1608662026295437,12.064,-0.0669760247486465,verySmall
748,748,748,2020-07-31 23:20:18.118000+00:00,compound," A Community Multisig has been deployed in the Compound Protocol Discord, proposed by user @arr00, with six community members as potential signers. The purpose of this multisig is to be used as a Pause Guardian or Borrow Limit Guardian in the future. The multisig is currently being confirmed by the proposed signers, who will then be added to the multisig. Once confirmed and approved through governance, the multisig can be utilized within the protocol for various purposes.",bearish,134.63,2020-08-02 00:00:00+00:00,110.0,110.0,2020-08-02 00:00:00+00:00,-0.1829458515932555,129.73999999999998,-0.0363217707791726,verySmall
750,750,750,2024-07-02 08:38:28.348000+00:00,starknet," This text describes a proposed implementation of Zero Knowledge Governance (ZK Governance) for the Starknet ecosystem, focusing on privacy and anonymity in governance processes. The ZK Governance system includes:

1. Voting Process: After voting ends, coordinators verify and process messages in batches using zk-SNARK proofs to ensure correct decryption and state tree updates without retaining outdated votes. Tallying of votes is done offline with another zk-SNARK proof for transparency.

2. Verification: The verifier contract on Starknet validates the proofs, ensuring the messages were processed correctly.

3. Results Publication: Once all messages are processed and verified, the voting results can be announced, and anyone can verify their accuracy using zk-SNARK proofs. Individual votes remain confidential to protect privacy.

4. Integration with Starknet’s Governance Platform: ZK Governance will be integrated into the existing governance platform to provide a privacy layer, encouraging higher participation rates and improving the quality of decision-making.

5. Key Deliverables: An anonymous forum section and an anti-censorship/anonymous voting mechanism are planned as part of this integration.

6. Benefits for Starknet Ecosystem: Implementing ZK Governance is expected to lead to higher participation rates, stronger community engagement, improved decision-making, enhanced security, and a more vibrant ecosystem overall.

7. References: The proposal references research by Vitalik Buterin, gubsheep, and Sun Yi on minimal anti-collusion infrastructure, ZK Identity, and MACI (Minimal Anti-Collusion Infrastructure).",bearish,0.637,2024-07-04 00:00:00+00:00,0.526,0.526,2024-07-04 00:00:00+00:00,-0.1742543171114599,0.5973333333333333,-0.0622710622710623,verySmall
753,753,753,2024-07-06 13:24:26.363000+00:00,starknet," The text discusses a proposed new syscall, get_class_hash_at or class_hash_syscall, for Starknet's smart contract environment. This syscall aims to retrieve the class hash of a deployed contract at a specific address within the contract execution environment.

Currently, there is no way to perform this operation within the smart contract itself. In contrast, Ethereum and EVM systems store copies of the code multiple times if the same contract is deployed numerous times.

The motivation for this syscall comes from the need to check a contract's class hash, as seen in Kakarot's use of replace_class_hash syscall for upgrades at the contract level and using class hashes as a means of checking contract versions. This syscall would enable contract-level orchestration of versioning and auto-upgrade for Kakarot Account Contracts.

The proposed API for this syscall includes two options: get_class_hash_at_syscall and class_hash_syscall, both returning the ClassHash if the contract is deployed and an error if it is not. The implementation details are yet to be defined by the Starkware team.

The text also mentions that copyright and related rights have been waived via MIT.",bearish,0.573,2024-08-02 00:00:00+00:00,0.407,0.407,2024-08-02 00:00:00+00:00,-0.2897033158813263,0.5066666666666666,-0.1157649796393252,small
755,755,755,2024-07-02 12:17:23.706000+00:00,venus," The proposal aims to adjust daily XVS emissions on Ethereum Mainnet to 933 XVS. It also updates the distribution speeds for various markets with new monthly emission rates for Core Pool (WETH, WBTC, USDT, USDC, crvUSD, FRAX, sFRAX, TUSD, DAI) and Curve Pool (CRV, crvUSD), as well as LST Pool (wstETH, WETH). Specific rates are provided for each market.",bearish,6.22,2024-07-04 00:00:00+00:00,5.2,5.2,2024-07-04 00:00:00+00:00,-0.1639871382636655,5.81,-0.0659163987138263,verySmall
758,758,758,2020-09-09 21:57:28+00:00,sushi," Swerve Finance is a community-owned fork of Curve, featuring fairer tokenomics for Liquidity Providers and a maximum supply of 33M SWRV tokens. Over $492M is currently locked in their protocol, with plans to add a new SWRV-ETH LP pool to increase liquidity and reward LPs similarly to the rewards assigned in SIP-4.",bearish,2.88,2020-09-09 00:00:00+00:00,2.153,2.153,2020-09-09 00:00:00+00:00,-0.2524305555555555,2.6573333333333333,-0.0773148148148147,small
760,760,760,2020-09-09 05:55:18.417000+00:00,aragon," The text suggests a proposal for the Aragon Network DAO to distribute governance tokens to its community members in exchange for funding projects, rather than just making donations. This action aims to increase incentives for Aragon Network Token (ANT) holders to participate in voting.",bearish,4.6143,2020-09-09 00:00:00+00:00,3.9054,3.9054,2020-09-09 00:00:00+00:00,-0.1536311033092776,4.5559,-0.0126563075656112,verySmall
763,763,763,2021-05-20 21:30:33.481000+00:00,makerdao, Replacing Ethereum addresses with user-friendly names via Ethereum Naming Service (ENS) is beneficial and straightforward. The process takes approximately 4 minutes.,bearish,3937.61,2021-05-20 00:00:00+00:00,3019.68,3019.68,2021-05-20 00:00:00+00:00,-0.2331185668463865,3272.14,-0.1690035325997242,verySmall
766,766,766,2022-04-08 17:06:19+00:00,balancer," The proposal aims to whitelist the COW/GNO pool gauge for veBAL voting, strengthening ties between the COW and BAL communities. The COW Protocol allows users to swap assets at best exchange rates using a batch settlement layer on top of AMMs and DEX aggregators. It uses solvers to settle trades, with CoWs (Coincidence of Wants) leading to lower gas costs, fees, and execution risk. The proposal motivates increased BAL rewards for COW liquidity providers and is governed by COW and vCOW token holders through snapshot votes and forum proposals. No oracles are used in the protocol, and audits have been conducted on the settlement contract and COW token. Decentralization of orderbook and solver competition is planned, with potential risks mainly being censorship of orders. The COW token was made transferable on March 28th and previously had incentives for providing liquidity in Balancer pools.",bearish,20.25,2022-04-10 00:00:00+00:00,16.78,16.78,2022-04-10 00:00:00+00:00,-0.1713580246913579,18.52333333333333,-0.0852674897119343,verySmall
768,768,768,2022-05-17 03:06:46+00:00,sushi," The proposal aims to utilize 41,424 TOKE from Sushi's treasury for staking with a potential APR of 16%-31%. This action is intended to increase the productivity of the treasury, helping sustain the protocol in the long run. The earned yield could be used for various expenses such as setting up the Swiss Association and operational fees.",bearish,1.435,2022-05-19 00:00:00+00:00,1.206,1.206,2022-05-19 00:00:00+00:00,-0.1595818815331011,1.3493333333333333,-0.0596980255516841,verySmall
771,771,771,2021-12-11 15:35:19.864000+00:00,venus," In this conversation, Justin Sun, the founder of TRON, discusses the upcoming live event on December 12, which includes the launch of BTTC (BitTorrent Token) redenomination plan and the expansion of TRX (TRON's native token) in the European market. He also highlights the progress of TRON ecosystem in areas like NFT, DeFi, GameFi, and the metaverse.

Justin Sun mentions the collaboration between SUN and JUST ecosystems to build SUNSwap, the largest decentralized exchange on TRON, and the launch of BitTorrent Chain (BTTC), which is a significant milestone for both TRON and BitTorrent. He also talks about TRON's achievements in the NFT world, such as purchasing an NFT avatar at a record-high price and winning the bid for The Nose, an iconic work by Alberto Giacometti, to power the growth of TRON-based NFTs.

Regarding future cooperation between TRON and Venus, Justin Sun expresses his interest in the metaverse trend and mentions that both sides are considering further collaboration in this area. He also invites the Venus community for a video livestream in the future.

Overall, the conversation highlights the progress of TRON and its ecosystem in various areas, as well as potential collaborations with other projects like Venus in the metaverse space.",bearish,18.38,2021-12-11 00:00:00+00:00,14.72,14.72,2021-12-11 00:00:00+00:00,-0.1991294885745374,17.273333333333333,-0.0602103735944867,verySmall
772,772,772,2024-03-06 12:30:24+00:00,0xprotocol," This snapshot vote aims to gauge community opinion on a grant proposal for funding Milestone 2 of the BundleSwapFeature (BSF). The proposal is from 31Third, and more details can be found in the pZEIP-1_M2 document on Github or in the forum discussion. The action proposed is to award $25k to 31Third. Voters can choose between FOR, AGAINST, or ABSTAIN.",bearish,0.5295,2024-03-06 00:00:00+00:00,0.3894,0.3894,2024-03-06 00:00:00+00:00,-0.2645892351274787,0.5339666666666667,0.0084356310985207,small
777,777,777,2024-06-04 09:22:45.159000+00:00,uniswap," The Uniswap Delegate Reward has been executed, and rewards will be available starting June 2024. To qualify, delegates must maintain 80% voting participation over the past three months, with a snapshot date on July 1st at 9pm CET. Qualifying delegates will receive $3,000 USD worth of UNI.

Additionally, an extra reward is available if delegates write rationales for their votes and submit them by July 3rd at 9pm CET. Delegates are encouraged to create a delegate profile to share updates and rationales. The Accountability Committee will monitor participation, share status, and announce qualifications by July 8th.

The Uniswap Delegate Reward Working Group is required to fill out hours for retro payment using a provided template by June 10th at 9pm CET. The current working group will be dissolved, and new groups or ideas are welcome for the upcoming Cycle 2.",bearish,11.466,2024-06-04 00:00:00+00:00,9.403,9.403,2024-06-04 00:00:00+00:00,-0.1799232513518227,11.082333333333333,-0.033461247746962,verySmall
779,779,779,2024-05-20 18:30:48+00:00,arbitrum," The initial STIP application by OpenOcean, proposed by Cattin - Seed Latam, requested 250,000 ARB. The proposal needs a closer look due to an addendum provided.",bearish,1.1269,2024-05-20 00:00:00+00:00,0.9476,0.9476,2024-05-20 00:00:00+00:00,-0.1591090602537936,1.1572000000000002,0.026887922619576,verySmall
783,783,783,2022-01-20 19:23:22+00:00,pankcakeswap," The text proposes a new achievement record (ATH) for cakes, achieved by halting emissions, using cake for NFT transactions instead of BNB, and enhancing cake's utilities to restore its greatness. It asks the community if they agree to halt emission to make CAKE great again.",bearish,10.27,2022-01-21 00:00:00+00:00,8.72,8.72,2022-01-21 00:00:00+00:00,-0.1509250243427457,8.903333333333332,-0.1330736773774748,verySmall
786,786,786,2022-06-17 18:22:27+00:00,balancer," The text discusses proposed changes in the governance structure of Balancer. These changes include:

1. Adding a strategy created by Aura team to Balancer's snapshot, allowing vlAURA holders to vote with weight proportional to veBAL held by Aura.
2. Increasing the quorum for voting from 100k veBAL to 200k veBAL, which may be further increased in the future.
3. Reducing the frequency of signing requests and bundling proposals together for simultaneous vote once a week on Thursdays.
4. Transferring control over balancer.eth ENS to the DAO Multisig.
5. Setting snapshot admin to the Emergency subDAO Multisig for future updates.

The risks mentioned are potential delays in time-sensitive proposals due to weekly voting and possible failure to hit the new quorum. An exception will be made for emergency or time-sensitive proposals.",bearish,4.3,2022-06-18 00:00:00+00:00,3.62,3.62,2022-06-18 00:00:00+00:00,-0.1581395348837208,4.213333333333334,-0.0201550387596897,verySmall
789,789,789,2021-11-25 10:30:55+00:00,pankcakeswap," A proposal for a Non-Fungible Token (NFT) that can only be minted using CAKE. The CAKE from the minting process will be burned completely. This NFT can be staked to generate a new token with limited supply, which can also be obtained through NFT staking. The generated tokens and NFTs can be used as in-game characters for the CAKE Play-to-Earn (P2E) or Metaverse platform. This system aims to burn CAKE while rewarding its holders with potential investment growth.",bearish,14.42,2021-11-26 00:00:00+00:00,12.0,12.0,2021-11-26 00:00:00+00:00,-0.1678224687933426,13.463333333333331,-0.0663430420711974,verySmall
804,804,804,2024-03-15 13:14:58.913000+00:00,venus," Chaos Labs proposes enhancing the XVS Bridge parameters for increased usage on Ethereum Mainnet, aiming to boost growth due to an upcoming emissions plan. The suggested changes include:

1. MaxDailyLimit increase to $1M, below 10% of the average daily trading volume of XVS over the past year, to minimize extreme liquidity shocks without posing significant financial risks.
2. MaxSingleTransactionLimit increase from $10K to $100,000 to reduce high Ethereum transaction fees and enable more affordable bridging while benefiting from vault emissions on Ethereum.
3. The Mint Limit for XVS on Ethereum Mainnet is currently set at $7.5M but should be revised upward as bridging activity increases, with continuous monitoring of user activity to adjust the limit accordingly.",bearish,15.56,2024-03-16 00:00:00+00:00,13.21,13.21,2024-03-16 00:00:00+00:00,-0.1510282776349614,14.623333333333331,-0.0601970865467009,verySmall
805,805,805,2021-05-26 16:06:58+00:00,uniswap," The text discusses the potential benefits of deploying Uniswap v3 on EVM compatible networks like Arbitrum and Matic. The argument is that being available across multiple networks increases value and adoption, while not doing so allows other exchanges to fill the gap, potentially affecting future fees. Additionally, deployment on these networks could expand the list of projects built on Uniswap v3. The text suggests initiating a discussion for deploying Uniswap v3 on the Arbitrum network immediately, as Arbitrum is set to launch later this week. This can be achieved by opening the Uniswap v3 license and allowing community developers to implement it on Arbitrum.",bearish,29.42,2021-05-26 00:00:00+00:00,24.436,24.436,2021-05-26 00:00:00+00:00,-0.1694085656016316,27.948,-0.050033990482665,verySmall
807,807,807,2024-03-04 22:29:30.415000+00:00,apecoin," This text summarizes a plan to create four intellectual property (IP) podcast series and a stand-alone ApeCoin and Web3 chat show, with content produced in Mexico and Honduras. The IPs will be developed over a period of 8 months, starting with pre-production such as script development, casting, and recording planning. Production and post-production will take place over the next 6 months, followed by publishing, marketing, and promotion.

The stand-alone APE and Web3 chat show will be produced over a period of 12 months, starting with concept development and host hiring in the first two months. The production and post-production process will follow, along with publishing, marketing, and promotion.

The total cost for this project is $380,050 USD, with $297,650 USD allocated for the four IPs and $82,400 USD for the stand-alone APE and Web3 chat show. The goal is to push ApeCoin into mainstream culture, generate a significant return on investment (ROI) for the ApeCoin DAO, and raise awareness about wrongful convictions through one of the IPs titled ""Guilty Until Proven.""

The project aims to unlock new niches by focusing on mass-consumption content in multiple languages. Additionally, there is a possibility of developing blockchain technologies to fund and create content IPs with transparency and mutually beneficial outcomes in the future.",bearish,2.36,2024-03-05 00:00:00+00:00,1.844,1.844,2024-03-05 00:00:00+00:00,-0.21864406779661,2.2183333333333333,-0.0600282485875706,verySmall
809,809,809,2024-06-18 02:29:08.789000+00:00,lido," A grant proposal has been approved for community education in the Asia Pacific region to support initiatives related to Lido. The aim is to introduce various ways to contribute to the decentralization of Ethereum through Lido, with a focus on Community Staking Module (CSM) and Simple DVT. This will be achieved via podcasts, articles, tutorials, and events. The proposal outlines specific topics to be covered, including an introduction to Lido, the significance of liquid staking, ReGOOSE, and technical decentralization initiatives like CSM. A budget has been allocated for this initiative, with activities planned to be completed by the end of August. Tané, a crypto investment and research firm based in Japan, is leading this project as part of their mission to enhance the blockchain ecosystem through decentralization.",bearish,2.188,2024-06-18 00:00:00+00:00,1.725,1.725,2024-06-18 00:00:00+00:00,-0.2116087751371115,2.279,0.0415904936014624,verySmall
815,815,815,2024-01-03 03:46:40.830000+00:00,arbitrum," The authors propose using the research bounty section in LTIPP (Liquidity Token Incentive Program Participation Pool) to compare various programs and create Key Performance Indicators (KPIs). They categorize questions into five main areas: User Acquisition, Liquidity Acquisition, Volume/ Sequencer fees, Innovation of protocols, and Liquidity for $ARB. Each category has specific questions aimed at understanding user behavior, liquidity acquisition efficiency, volume generated, innovation uniqueness, and ARB token liquidity. The authors suggest allocating $ARB to each category to allow different service providers to focus on their areas of expertise. They also emphasize the need for continuous research funding and a reviewal process to ensure success.",bearish,1.9137,2024-01-03 00:00:00+00:00,1.463,1.463,2024-01-03 00:00:00+00:00,-0.2355123582588701,1.9565666666666663,0.0223998885231053,verySmall
819,819,819,2024-04-11 17:59:56+00:00,uniswap," The Uniswap Accountability Committee is proposing to gain multisig agency over the v3-deployments.uniswap.eth and v2deployments.uniswap.eth subdomains. This will allow them to update these text records whenever a new deployment is complete without an onchain vote. The DAO can still assign incentive distributions from the treasury to these deployments via an onchain vote.

The proposal includes a 5-day challenge period for voters to voice dissenting opinions regarding a deployment, ensuring their say in the process. If there are no major points of contention during the RFC phase, the deployment will be viewed as approved. The current Uniswap DAO, owned by the timelock address, will retain the right to alter the manager again or regain control via an onchain vote.

The new proposed deployment process involves connecting with either the Foundation, Accountability Committee, a delegate, or adjacent party to initiate a deployment. An RFC is posted for a minimum of 7 days, and if no issues arise, the deployment will be viewed as approved, and a 5-day challenge period will be rolled into the onboarding package snapshot vote. The Accountability Committee will then write the relevant text to the subdomain and confirm that the contracts have been verified and the subdomain has been properly updated.

The onchain proposal needs to include function calls to grant the Accountability Committee write permissions to the subdomains, with the DAO retaining the ability to revoke permission through a governance vote.",bearish,9.139,2024-04-12 00:00:00+00:00,7.0,7.0,2024-04-12 00:00:00+00:00,-0.2340518656308129,7.990333333333333,-0.1256884414779151,verySmall
827,827,827,2020-09-12 05:26:05+00:00,sushi,"100 dollars from Sushi funds and a 50 dollar tip are allocated for purchasing a sushi platter for delivery to Uniswap at 181 North 11th Street Suite 406, Brooklyn, New York, NY 11211 on Monday, 9/14 at 1pm. The delivery time or location may change if requested by someone from Uniswap.",bearish,2.629,2020-09-13 00:00:00+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,-0.1707873716241916,2.473333333333333,-0.0592113604665906,verySmall
841,841,841,2021-04-16 21:05:57+00:00,balancer,"1. Balancer V2 liquidity mining will operate in three tiers: Tier 1, Tier 2, and Tier 3.

2. Tier 1 pools will be allocated at the end of the transition period (8 weeks from the start of V2 mining) and include: 80/20 BAL/ETH, dynamic fee; 60/40 ETH/DAI, dynamic fee; 50/50 ETH/WBTC, dynamic fee; DAI/USDC/USDT stable pool.

3. Tier 2 and Tier 3 Liquidity Mining Pools will be discussed weekly according to community input and voted on by the Ballers Committee, an open group of active and engaged individuals in the Balancer community who have contributed significantly to the protocol.

4. The goal of using the Baller's Committee is to provide quick responses according to market conditions and avoid extensive overhead on BAL governance.

5. Decisions made by the Ballers will be made public on Balancer’s forum shortly after the end of their weekly meetings, and highly respected individuals and working groups in the space may also be invited to these meetings for strategic input.

6. The Ballers Committee is expected to expand and rotate over time, encouraging regular community members to engage so they can eventually become Ballers themselves.

7. The drawbacks of this structure include potential centralization risks, collusion, and eliminating liquidity incentives for the long-tail of pools. However, it's noted that becoming a Baller requires significant dedication to the protocol, making them highly aligned with the success of Balancer.

8. The transition from V1 to V2 will take place over an 8-week period, with the weekly BAL distribution remaining constant at 145,000 BAL per week spread across both Balancer V1 and V2 during this time.",bearish,63.429,2021-04-18 00:00:00+00:00,46.24,46.24,2021-04-18 00:00:00+00:00,-0.2709959166942565,60.72133333333334,-0.0426881500049923,small
842,842,842,2021-09-15 17:16:36.769000+00:00,aave," The Avalanche Foundation has proposed the deployment of the Aave Protocol into the Avalanche network. This is a signal for the Aave community to vote on the acceptance of this deployment. The Avalanche blockchain offers scalability, high throughput, and near-instant finality, making it suitable for DeFi applications. To encourage adoption, the Avalanche Foundation has allocated up to $20M AVAX for users of the Aave protocol over a three-month period as part of their Rush program. The deployment will be subject to a Snapshot vote, and if accepted, initial assets and configurations will be validated. The proposed assets include WAVAX, WETH, WBTC, AAVE, DAI, USDT, and USDC with specific LTVs, liquidation thresholds, and other parameters for each asset.",bearish,414.5,2021-09-17 00:00:00+00:00,350.2,350.2,2021-09-17 00:00:00+00:00,-0.1551266586248492,384.1333333333334,-0.0732609569762765,verySmall
844,844,844,2022-06-26 10:06:17.113000+00:00,lido," Title: Adopting Mandatory MEV-Boost for Lido: A Proposal for Decentralized Block Building

Abstract: This proposal aims to enhance the decentralization and scalability of Lido by adopting mandatory use of MEV-boost middleware for all Lido Nodes (NOs). By sourcing blocks from an open, competitive market, we can maximize revenue for Lido, protect Ethereum, minimize MEV hiding, and reduce Lido's power over block production.

1. Adoption of MEV-Boost: All Lido NOs will be required to adopt the MEV-boost middleware to access the distributed block builder market. This market provides an objective source for block templates that maximizes revenue for Lido and minimizes MEV hiding.

2. Monitoring Compliance: Non-compliant NOs can be identified by comparing their produced blocks with the most valuable known block template offered on MEV-boost (the reference block). If there is a significant deviation, the NO was either not using MEV-boost or engaging in MEV hiding.

3. Punishment for Non-Compliance: Lido can punish gross misbehavior by cutting off non-compliant NOs from receiving more stake from the DAO before withdrawals and off-boarding them after withdrawals via an on-chain vote.

4. Choice of Relays: To maintain competition, Lido should enforce both a must-include list (standard relays that all NOs must include) and a must-ban list (for adversarial relays that no NO can include). These lists can be subject to periodic review by the DAO.

5. Policy Maintenance: Lido should use the most decentralized and competitive implementation of PBS, with the goal of using protocol-enshrined PBS in the future. The policy should be reviewed periodically to ensure it remains on the best solution, with reviews happening at least once a year and increasing in frequency as the block template market ossifies.

References:
- Ethereum MEV Extraction and Rewards - Discussion & Policy Groundwork (Izzy)
- Why run mev-boost? (Hasu and Stephane Gosselin)
- mev-boost Github
- MEV… wat do? (Phil Daian)
- The Risks of LSD (Danny Ryan)
- Should Lido on Ethereum be limited to some fixed % of stake?
- LDO+stETH dual governance (Sam Kozin, Hasu, et al)",bearish,0.62,2022-06-28 00:00:00+00:00,0.52,0.52,2022-06-28 00:00:00+00:00,-0.1612903225806451,0.572,-0.0774193548387097,verySmall
848,848,848,2022-05-06 11:14:51.176000+00:00,astar," Flavian, CEO of Bware Labs, has been involved in the Astar Ecosystem for over a year and has delivered their first product in July 2021. They added support to Dusty Network in their platform. In March 2022, they launched BlastAPI.io, providing custom RPC and WSS endpoints for Astar, Shiden, and Shibuya. The infrastructure is geo-load balanced across three regions: North America, Europe, and the Asia Pacific. They are also running collators for Shiden/Astar and Shibuya.

Future plans include releasing a public API feature on Blast and offering support to builders running subgraphs on Astar. They will provide node support to Subscan and BlockScout explorers. Bware Labs focuses on two main directions: API Services and Blockchain Validators, supporting various blockchain projects including those based on Tendermint, Polygon, Elrond, Avalanche, Casper, Moonbeam, Astar, and others. Their API Platform, BLAST, is already live at blastapi.io. They hope for support in their application to join the dApp Staking Program.",bearish,0.1407,2022-05-06 00:00:00+00:00,0.119,0.119,2022-05-06 00:00:00+00:00,-0.154228855721393,0.1331666666666666,-0.0535418147358444,verySmall
850,850,850,2024-08-05 07:52:00.864000+00:00,balancer, The proposal aims to revoke Wonderland's BAL vesting contract and remove pending USDC payments due to the termination of their agreement. The Balancer DAO will exercise its right to return unvested BAL tokens to the treasury by executing a revoke on the vesting contract. Any difference in BAL that accrued between July 31st and the execution of the revoke function should be returned by Wonderland. This action is based on the mutual termination of the business relationship as agreed upon in BIP-578.,bearish,1.796,2024-08-05 00:00:00+00:00,1.522,1.522,2024-08-05 00:00:00+00:00,-0.1525612472160356,1.812333333333333,0.0090942835931699,verySmall
851,851,851,2021-02-18 09:05:32.404000+00:00,venus," The text is a request for information about the calculation and functioning of the Distribution APY (Annual Percentage Yield) in Venus, a decentralized finance platform. The writer is new to the platform and could not find help on Telegram chat.",bearish,80.33,2021-02-18 00:00:00+00:00,58.0,58.0,2021-02-18 00:00:00+00:00,-0.2779783393501805,81.46866666666666,0.01417486202747,small
853,853,853,2024-03-04 15:07:50.079000+00:00,lido," Fringe Finance has launched its V2 platform, initiating an incentive program on March 5 to boost adoption. The program offers triple rewards: from $LDO token growth, lender interest, and rewards from the program itself. V2 features include margin trade and amplify options for leveraged trading, a dynamic interest rate model for higher yields, repay using collateral flexibility, expanded asset availability across multiple chains, and an incentive program that rewards lenders based on their deposits and participation duration. The incentive program is structured around five milestones, with rewards issued in FRIN tokens. The program aims to benefit all ecosystem participants. Fringe Finance V2 is now live and the incentive program will be available across five chains.",bearish,3.282,2024-03-05 00:00:00+00:00,2.65,2.65,2024-03-05 00:00:00+00:00,-0.1925655088360756,3.265333333333333,-0.005078204346943,verySmall
854,854,854,2023-02-13 18:10:52.984000+00:00,makerdao," The text discusses a potential expansion of Dai Savings Rate (DSR) options for Dai holders. Currently, there is only one option: instant access at a fixed rate. A proposed solution involves notice accounts with varying unwinding periods and rates, such as a 30-day notice account offering 1.5% instead of the current 1%. This change would provide longer duration assets for Maker's Asset Liability Management (ALM) team, allowing them to invest in longer-term securities like 1-month treasury or continue investing in Money Market Funds (MMFs) with a planned withdrawal schedule. The poll asks whether offering additional DSR options would be attractive to Dai holders and if notice accounts better align with Dai's investment options.",bearish,770.0,2023-02-13 00:00:00+00:00,654.0,654.0,2023-02-13 00:00:00+00:00,-0.1506493506493506,756.3333333333334,-0.0177489177489176,verySmall
855,855,855,2020-09-12 05:11:36+00:00,sushi, Regulating commission fees for certain trading pairs can help increase and manage their liquidity and appeal.,bearish,2.629,2020-09-13 00:00:00+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,-0.1707873716241916,2.473333333333333,-0.0592113604665906,verySmall
859,859,859,2021-06-06 23:48:17.304000+00:00,balancer," This week, no new tokens are being added to the whitelist used for BAL governance token distribution. Two proposed tokens were deemed ineligible due to compatibility issues and lack of a price feed via CoinGecko API respectively. The whitelist proposals are pre-approved based on objective technical criteria and not subject to community vote. Tokens can be suggested for inclusion through the #token-requests channel in the Balancer Discord. The active whitelist and instructions for listing can be found on the official website. Changes will take effect at 00:00 UTC on Monday, June 7.",bearish,29.108,2021-06-08 00:00:00+00:00,23.557,23.557,2021-06-08 00:00:00+00:00,-0.1907035866428474,27.153666666666663,-0.0671407631349915,verySmall
